bairro,endereco,area,quartos,banheiros,vaga,aluguel,condominio,endereco_completo,latitude,longitude,aluguel_num
Vila Buarque,Rua Major Sertório,31.0,1.0,1.0,1,R$ 1.489,R$ 510 Condominio,"Rua Major Sertório, Vila Buarque, São Paulo, São Paulo, Brasil",-23.5453915,-46.6487475,1489.0
Centro,Avenida Cásper Líbero,50.0,1.0,1.0,0,R$ 1.490,R$ 488 Condominio,"Avenida Cásper Líbero, Centro, São Paulo, São Paulo, Brasil",-23.539054,-46.636087,1490.0
Vila Buarque,Largo santa cecilia,48.0,1.0,1.0,0,R$ 1.490,,"Largo santa cecilia, Vila Buarque, São Paulo, São Paulo, Brasil",-23.5391771,-46.6500331,1490.0
Centro,Rua Álvaro de Carvalho,35.0,1.0,1.0,1,R$ 1.495,R$ 716 Condominio,"Rua Álvaro de Carvalho, Centro, São Paulo, São Paulo, Brasil",-23.5491833,-46.6425156,1495.0
Centro,Rua dos Andradas,30.0,1.0,1.0,0,R$ 1.497,R$ 483 Condominio,"Rua dos Andradas, Centro, São Paulo, São Paulo, Brasil",-23.5384537,-46.6378847,1497.0
Santa Efigênia,"AV Duque de Caxias, 20",58.0,1.0,1.0,0,R$ 1.500,R$ 508 Condominio,"AV Duque de Caxias, 20, Santa Efigênia, São Paulo, São Paulo, Brasil",-23.5413254,-46.64650349999999,1500.0
Vila Buarque,Rua Amaral Gurgel,42.0,1.0,1.0,1,R$ 1.500,R$ 750 Condominio,"Rua Amaral Gurgel, Vila Buarque, São Paulo, São Paulo, Brasil",-23.5443915,-46.647709,1500.0
Centro,Rua dos Carmelitas,50.0,1.0,1.0,0,R$ 1.500,R$ 675 Condominio,"Rua dos Carmelitas, Centro, São Paulo, São Paulo, Brasil",-23.5512062,-46.6291981,1500.0
Vila Buarque,Rua Santa Isabel,45.0,1.0,1.0,0,R$ 1.500,R$ 508 Condominio,"Rua Santa Isabel, Vila Buarque, São Paulo, São Paulo, Brasil",-23.5427715,-46.6482353,1500.0
Centro,Avenida Senador Queirós,20.0,1.0,1.0,0,R$ 1.500,R$ 550 Condominio,"Avenida Senador Queirós, Centro, São Paulo, São Paulo, Brasil",-23.5393987,-46.6327896,1500.0
Luz,Rua Dutra Rodrigues,28.0,1.0,1.0,0,R$ 1.500,R$ 100 Condominio,"Rua Dutra Rodrigues, Luz, São Paulo, São Paulo, Brasil",-23.534234,-46.6316975,1500.0
Centro,rua vitoria,42.0,1.0,1.0,0,R$ 1.500,R$ 500 Condominio,"rua vitoria, Centro, São Paulo, São Paulo, Brasil",-23.5373514,-46.6380855,1500.0
Vila Buarque,Rua Amaral Gurgel,30.0,1.0,1.0,0,R$ 1.500,R$ 352 Condominio,"Rua Amaral Gurgel, Vila Buarque, São Paulo, São Paulo, Brasil",-23.5443915,-46.647709,1500.0
Centro,Avenida Cásper Líbero,50.0,2.0,1.0,0,R$ 1.500,R$ 700 Condominio,"Avenida Cásper Líbero, Centro, São Paulo, São Paulo, Brasil",-23.539054,-46.636087,1500.0
Centro,Viaduto Dona Paulina,29.0,1.0,1.0,0,R$ 1.500,R$ 480 Condominio,"Viaduto Dona Paulina, Centro, São Paulo, São Paulo, Brasil",-23.5521441,-46.6363563,1500.0
Centro,Avenida Ipiranga,32.0,1.0,1.0,0,R$ 1.500,R$ 420 Condominio,"Avenida Ipiranga, Centro, São Paulo, São Paulo, Brasil",-23.5405282,-46.6379755,1500.0
Centro,Rua Amaral Gurgel,40.0,1.0,1.0,0,R$ 1.500,,"Rua Amaral Gurgel, Centro, São Paulo, São Paulo, Brasil",-23.5446857,-46.6479239,1500.0
Vila Buarque,R. Amaral Gurgel - Vila Buarque São Paulo - Sp 01221-001 Brasil,30.0,,1.0,0,R$ 1.500,R$ 476 Condominio,"R. Amaral Gurgel - Vila Buarque São Paulo - Sp 01221-001 Brasil, Vila Buarque, São Paulo, São Paulo, Brasil",-23.54441,-46.64768000000001,1500.0
Sé,Rua Conde de Sarzedas,24.0,1.0,1.0,0,R$ 1.500,R$ 396 Condominio,"Rua Conde de Sarzedas, Sé, São Paulo, São Paulo, Brasil",-23.5539785,-46.6310649,1500.0
Centro,Rua Antônio de Godói,49.0,1.0,1.0,0,R$ 1.500,R$ 350 Condominio,"Rua Antônio de Godói, Centro, São Paulo, São Paulo, Brasil",-23.5422341,-46.6375569,1500.0
Sé,Rua Tabatinguera,24.0,1.0,1.0,0,R$ 1.500,R$ 500 Condominio,"Rua Tabatinguera, Sé, São Paulo, São Paulo, Brasil",-23.5524974,-46.6296068,1500.0
Santa Efigênia,Rua Aurora,40.0,1.0,1.0,0,R$ 1.500,R$ 280 Condominio,"Rua Aurora, Santa Efigênia, São Paulo, São Paulo, Brasil",-23.5390208,-46.6387669,1500.0
Vila Buarque,Rua Doutor Cesário Mota Júnior,25.0,1.0,1.0,0,R$ 1.500,R$ 390 Condominio,"Rua Doutor Cesário Mota Júnior, Vila Buarque, São Paulo, São Paulo, Brasil",-23.5453759,-46.6489592,1500.0
Sé,Rua Tabatinguera,24.0,1.0,1.0,0,R$ 1.500,R$ 500 Condominio,"Rua Tabatinguera, Sé, São Paulo, São Paulo, Brasil",-23.5524974,-46.6296068,1500.0
Centro,Avenida Senador Queirós,38.0,1.0,1.0,0,R$ 1.500,R$ 777 Condominio,"Avenida Senador Queirós, Centro, São Paulo, São Paulo, Brasil",-23.5393987,-46.6327896,1500.0
Centro,Praça Carlos Gomes,37.0,1.0,1.0,0,R$ 1.500,R$ 325 Condominio,"Praça Carlos Gomes, Centro, São Paulo, São Paulo, Brasil",-23.5533344,-46.6357701,1500.0
Centro,Rua Major Quedinho,50.0,1.0,1.0,0,R$ 1.500,R$ 410 Condominio,"Rua Major Quedinho, Centro, São Paulo, São Paulo, Brasil",-23.5497655,-46.6430772,1500.0
Centro,Rua Brigadeiro Tobias,42.0,1.0,1.0,0,R$ 1.500,R$ 520 Condominio,"Rua Brigadeiro Tobias, Centro, São Paulo, São Paulo, Brasil",-23.539384,-46.6350407,1500.0
Santa Efigênia,Rua dos Andradas,30.0,1.0,1.0,0,R$ 1.500,,"Rua dos Andradas, Santa Efigênia, São Paulo, São Paulo, Brasil",-23.5376248,-46.6385392,1500.0
Vila Buarque,Rua Frederico Abranches,53.0,1.0,1.0,0,R$ 1.500,R$ 465 Condominio,"Rua Frederico Abranches, Vila Buarque, São Paulo, São Paulo, Brasil",-23.5398099,-46.6499741,1500.0
Centro,Rua Washington Luís 98,25.0,1.0,1.0,0,R$ 1.500,R$ 424 Condominio,"Rua Washington Luís 98, Centro, São Paulo, São Paulo, Brasil",-23.5377539,-46.6342368,1500.0
