bairro,endereco,area,quartos,banheiros,vaga,aluguel,condominio,endereco_completo,latitude,longitude,aluguel_num
Luz,Rua Vinte E Cinco de Janeiro,46.0,2.0,1.0,0,R$ 1.800,R$ 620 Condominio,"Rua Vinte E Cinco de Janeiro, Luz, São Paulo, São Paulo, Brasil",-23.5354799,-46.6310363,1800.0
Centro,Avenida Cásper Líbero,27.0,1.0,1.0,0,R$ 1.800,R$ 488 Condominio,"Avenida Cásper Líbero, Centro, São Paulo, São Paulo, Brasil",-23.539054,-46.636087,1800.0
Vila Buarque,Rua Canuto do Val,50.0,1.0,1.0,0,R$ 1.800,R$ 500 Condominio,"Rua Canuto do Val, Vila Buarque, São Paulo, São Paulo, Brasil",-23.5403087,-46.6517888,1800.0
Centro,Avenida Cásper Líbero,25.0,1.0,1.0,0,R$ 1.800,R$ 306 Condominio,"Avenida Cásper Líbero, Centro, São Paulo, São Paulo, Brasil",-23.539054,-46.636087,1800.0
Centro,Avenida Cásper Líbero,26.0,1.0,1.0,0,R$ 1.800,R$ 350 Condominio,"Avenida Cásper Líbero, Centro, São Paulo, São Paulo, Brasil",-23.539054,-46.636087,1800.0
Vila Buarque,Rua Doutor Cesário Mota Júnior,28.0,1.0,1.0,0,R$ 1.800,R$ 500 Condominio,"Rua Doutor Cesário Mota Júnior, Vila Buarque, São Paulo, São Paulo, Brasil",-23.5453759,-46.6489592,1800.0
Centro,Rua Álvaro de Carvalho,32.0,1.0,1.0,1,R$ 1.800,R$ 750 Condominio,"Rua Álvaro de Carvalho, Centro, São Paulo, São Paulo, Brasil",-23.5491833,-46.6425156,1800.0
Vila Buarque,Rua Major Sertório,32.0,1.0,1.0,0,R$ 1.800,R$ 485 Condominio,"Rua Major Sertório, Vila Buarque, São Paulo, São Paulo, Brasil",-23.5453915,-46.6487475,1800.0
Centro,Rua Martins Fontes,35.0,1.0,1.0,0,R$ 1.800,R$ 320 Condominio,"Rua Martins Fontes, Centro, São Paulo, São Paulo, Brasil",-23.5492334,-46.6442819,1800.0
Sé,Rua São Francisco,40.0,1.0,1.0,0,R$ 1.800,R$ 365 Condominio,"Rua São Francisco, Sé, São Paulo, São Paulo, Brasil",-23.5491102,-46.6379728,1800.0
Centro,Avenida Ipiranga,38.0,1.0,1.0,0,R$ 1.800,R$ 652 Condominio,"Avenida Ipiranga, Centro, São Paulo, São Paulo, Brasil",-23.5405282,-46.6379755,1800.0
Centro,Rua Washington Luís,22.0,1.0,1.0,0,R$ 1.800,R$ 450 Condominio,"Rua Washington Luís, Centro, São Paulo, São Paulo, Brasil",-23.5378587,-46.6341964,1800.0
Vila Buarque,Rua Fortunato,26.0,1.0,1.0,0,R$ 1.800,R$ 600 Condominio,"Rua Fortunato, Vila Buarque, São Paulo, São Paulo, Brasil",-23.5403087,-46.6517888,1800.0
Santa Efigênia,Rua Aurora,40.0,1.0,1.0,0,R$ 1.800,R$ 421 Condominio,"Rua Aurora, Santa Efigênia, São Paulo, São Paulo, Brasil",-23.5390208,-46.6387669,1800.0
Vila Buarque,R Doutor Cesário Mota Júnior,39.0,1.0,1.0,0,R$ 1.800,R$ 290 Condominio,"R Doutor Cesário Mota Júnior, Vila Buarque, São Paulo, São Paulo, Brasil",-23.5453759,-46.6489592,1800.0
Centro,"AV Senador Queirós, 101",40.0,1.0,1.0,0,R$ 1.800,R$ 1.000 Condominio,"AV Senador Queirós, 101, Centro, São Paulo, São Paulo, Brasil",-23.5388665,-46.6351773,1800.0
Centro,"R Aurora, 756",27.0,1.0,1.0,0,R$ 1.800,R$ 1.100 Condominio,"R Aurora, 756, Centro, São Paulo, São Paulo, Brasil",-23.5415671,-46.6431627,1800.0
Centro,"R ARAÚJO, 141",30.0,1.0,1.0,1,R$ 1.800,R$ 1.400 Condominio,"R ARAÚJO, 141, Centro, São Paulo, São Paulo, Brasil",-23.5450103,-46.6443249,1800.0
Centro,"R Gravataí, 118",30.0,1.0,1.0,0,R$ 1.800,R$ 1.100 Condominio,"R Gravataí, 118, Centro, São Paulo, São Paulo, Brasil",-23.5488874,-46.6484154,1800.0
Centro,Praça da República,35.0,1.0,1.0,0,R$ 1.800,R$ 250 Condominio,"Praça da República, Centro, São Paulo, São Paulo, Brasil",-23.5438292,-46.6421961,1800.0
Vila Buarque,"R Maria Antônia, 344",49.0,1.0,1.0,0,R$ 1.800,R$ 643 Condominio,"R Maria Antônia, 344, Vila Buarque, São Paulo, São Paulo, Brasil",-23.545849,-46.6513706,1800.0
Centro,Rua Washington Luís,22.0,1.0,1.0,0,R$ 1.800,R$ 418 Condominio,"Rua Washington Luís, Centro, São Paulo, São Paulo, Brasil",-23.5378587,-46.6341964,1800.0
Centro,R Washington Luís,28.0,1.0,1.0,0,R$ 1.800,R$ 460 Condominio,"R Washington Luís, Centro, São Paulo, São Paulo, Brasil",-23.5378587,-46.6341964,1800.0
Sé,"Rua Riachuelo, 1293661",50.0,3.0,1.0,0,R$ 1.800,,"Rua Riachuelo, 1293661, Sé, São Paulo, São Paulo, Brasil",-23.5506284,-46.6367381,1800.0
Sé,Praça da Sé 1,39.0,1.0,1.0,1,R$ 1.800,R$ 443 Condominio,"Praça da Sé 1, Sé, São Paulo, São Paulo, Brasil",-23.5493136,-46.6332157,1800.0
Vila Buarque,"R Maria Antônia, 344",49.0,1.0,1.0,0,R$ 1.800,R$ 643 Condominio,"R Maria Antônia, 344, Vila Buarque, São Paulo, São Paulo, Brasil",-23.545849,-46.6513706,1800.0
Vila Buarque,Rua General Jardim 382,26.0,1.0,1.0,0,R$ 1.800,R$ 1.400 Condominio,"Rua General Jardim 382, Vila Buarque, São Paulo, São Paulo, Brasil",-23.5445692,-46.6482463,1800.0
Santa Efigênia,Rua Aurora 756,27.0,1.0,1.0,0,R$ 1.800,R$ 1.100 Condominio,"Rua Aurora 756, Santa Efigênia, São Paulo, São Paulo, Brasil",-23.5415671,-46.6431627,1800.0
Centro,AV Cásper Líbero,30.0,1.0,1.0,0,R$ 1.800,R$ 460 Condominio,"AV Cásper Líbero, Centro, São Paulo, São Paulo, Brasil",-23.539054,-46.636087,1800.0
Canindé,"Rua Azurita ,48",40.0,2.0,1.0,0,R$ 1.800,R$ 400 Condominio,"Rua Azurita ,48, Canindé, São Paulo, São Paulo, Brasil",-23.5212051,-46.6174352,1800.0
Santa Efigênia,Endereço não informado,68.0,1.0,1.0,0,R$ 1.800,R$ 391 Condominio,"Endereço não informado, Santa Efigênia, São Paulo, São Paulo, Brasil",-23.5376549,-46.6385252,1800.0
Centro,Endereço não informado,22.0,1.0,1.0,0,R$ 1.800,R$ 420 Condominio,"Endereço não informado, Centro, São Paulo, São Paulo, Brasil",-23.5406338,-46.6320967,1800.0
Vila Buarque,Rua Amaral Gurgel 97,32.0,1.0,1.0,0,R$ 1.800,,"Rua Amaral Gurgel 97, Vila Buarque, São Paulo, São Paulo, Brasil",-23.5426277,-46.6475263,1800.0
Vila Buarque,"R General Jardim, 294",25.0,1.0,1.0,0,R$ 1.800,R$ 1 Condominio,"R General Jardim, 294, Vila Buarque, São Paulo, São Paulo, Brasil",-23.5446178,-46.6474225,1800.0
Santa Efigênia,Endereço não informado,55.0,1.0,1.0,0,R$ 1.800,R$ 400 Condominio,"Endereço não informado, Santa Efigênia, São Paulo, São Paulo, Brasil",-23.5376549,-46.6385252,1800.0
Centro,Avenida Prestes Maia,55.0,1.0,1.0,0,R$ 1.806,R$ 770 Condominio,"Avenida Prestes Maia, Centro, São Paulo, São Paulo, Brasil",-23.5396645,-46.6340752,1806.0
Centro,Rua Antônio de Godói,51.0,2.0,1.0,0,R$ 1.812,R$ 470 Condominio,"Rua Antônio de Godói, Centro, São Paulo, São Paulo, Brasil",-23.5422341,-46.6375569,1812.0
Centro,Viaduto Nove de Julho,68.0,1.0,1.0,0,R$ 1.814,R$ 530 Condominio,"Viaduto Nove de Julho, Centro, São Paulo, São Paulo, Brasil",-23.5492164,-46.6423238,1814.0
Vila Buarque,Rua Marquês de Itu,61.0,1.0,1.0,1,R$ 1.819,R$ 960 Condominio,"Rua Marquês de Itu, Vila Buarque, São Paulo, São Paulo, Brasil",-23.5437626,-46.6498096,1819.0
Vila Buarque,R Rego Freitas,21.0,1.0,1.0,0,R$ 1.820,R$ 589 Condominio,"R Rego Freitas, Vila Buarque, São Paulo, São Paulo, Brasil",-23.5447316,-46.6466079,1820.0
Centro,Rua Martins Fontes,40.0,1.0,1.0,0,R$ 1.825,R$ 400 Condominio,"Rua Martins Fontes, Centro, São Paulo, São Paulo, Brasil",-23.5492334,-46.6442819,1825.0
Vila Buarque,Rua Jesuíno Pascoal,65.0,2.0,1.0,0,R$ 1.842,R$ 1.100 Condominio,"Rua Jesuíno Pascoal, Vila Buarque, São Paulo, São Paulo, Brasil",-23.5416973,-46.650056,1842.0
Vila Buarque,Rua das Palmeiras,11.0,1.0,1.0,0,R$ 1.847,R$ 350 Condominio,"Rua das Palmeiras, Vila Buarque, São Paulo, São Paulo, Brasil",-23.5373143,-46.6512558,1847.0
Centro,Rua João Adolfo,38.0,1.0,1.0,0,R$ 1.848,R$ 367 Condominio,"Rua João Adolfo, Centro, São Paulo, São Paulo, Brasil",-23.5484916,-46.6403779,1848.0
Santa Efigênia,Avenida Duque de Caxias,47.0,1.0,1.0,0,R$ 1.850,R$ 350 Condominio,"Avenida Duque de Caxias, Santa Efigênia, São Paulo, São Paulo, Brasil",-23.5359339,-46.6415808,1850.0
Sé,Rua dos Estudantes 388,24.0,1.0,1.0,0,R$ 1.850,R$ 300 Condominio,"Rua dos Estudantes 388, Sé, São Paulo, São Paulo, Brasil",-23.5556586,-46.631324,1850.0
Centro,Rua Álvaro de Carvalho 127,47.0,1.0,1.0,1,R$ 1.850,R$ 750 Condominio,"Rua Álvaro de Carvalho 127, Centro, São Paulo, São Paulo, Brasil",-23.5487239,-46.6414345,1850.0
Centro,Rua Washington Luís 98,41.0,1.0,1.0,1,R$ 1.850,R$ 645 Condominio,"Rua Washington Luís 98, Centro, São Paulo, São Paulo, Brasil",-23.5377539,-46.6342368,1850.0
Sé,Rua dos Estudantes,26.0,1.0,1.0,0,R$ 1.856,R$ 340 Condominio,"Rua dos Estudantes, Sé, São Paulo, São Paulo, Brasil",-23.5553712,-46.6317971,1856.0
Vila Buarque,Rua General Jardim,57.0,1.0,1.0,1,R$ 1.856,R$ 1.000 Condominio,"Rua General Jardim, Vila Buarque, São Paulo, São Paulo, Brasil",-23.5446395,-46.6489344,1856.0
Santa Efigênia,R Aurora,80.0,2.0,,0,R$ 1.865,R$ 1.050 Condominio,"R Aurora, Santa Efigênia, São Paulo, São Paulo, Brasil",-23.5390208,-46.6387669,1865.0
Centro,Rua dos Carmelitas,84.0,2.0,,0,R$ 1.870,R$ 551 Condominio,"Rua dos Carmelitas, Centro, São Paulo, São Paulo, Brasil",-23.5512062,-46.6291981,1870.0
Vila Buarque,Rua Santa Isabel,49.0,1.0,1.0,0,R$ 1.870,R$ 437 Condominio,"Rua Santa Isabel, Vila Buarque, São Paulo, São Paulo, Brasil",-23.5427715,-46.6482353,1870.0
Centro,Avenida Senador Queirós,33.0,1.0,1.0,0,R$ 1.870,R$ 350 Condominio,"Avenida Senador Queirós, Centro, São Paulo, São Paulo, Brasil",-23.5393987,-46.6327896,1870.0
Centro,Rua Brigadeiro Tobias,52.0,1.0,,0,R$ 1.875,R$ 600 Condominio,"Rua Brigadeiro Tobias, Centro, São Paulo, São Paulo, Brasil",-23.539384,-46.6350407,1875.0
Sé,Rua dos Estudantes,24.0,1.0,1.0,0,R$ 1.876,R$ 350 Condominio,"Rua dos Estudantes, Sé, São Paulo, São Paulo, Brasil",-23.5553712,-46.6317971,1876.0
Vila Buarque,Rua Fortunato,25.0,1.0,1.0,0,R$ 1.880,R$ 540 Condominio,"Rua Fortunato, Vila Buarque, São Paulo, São Paulo, Brasil",-23.5403087,-46.6517888,1880.0
Centro,Avenida São João,70.0,1.0,1.0,0,R$ 1.880,R$ 560 Condominio,"Avenida São João, Centro, São Paulo, São Paulo, Brasil",-23.5437201,-46.6378763,1880.0
Centro,Avenida São João,89.0,2.0,,0,R$ 1.880,R$ 900 Condominio,"Avenida São João, Centro, São Paulo, São Paulo, Brasil",-23.5437201,-46.6378763,1880.0
Centro,Rua Washington Luís,22.0,1.0,1.0,0,R$ 1.880,R$ 470 Condominio,"Rua Washington Luís, Centro, São Paulo, São Paulo, Brasil",-23.5378587,-46.6341964,1880.0
Canindé,Rua Azurita 48,38.0,2.0,1.0,0,R$ 1.880,R$ 320 Condominio,"Rua Azurita 48, Canindé, São Paulo, São Paulo, Brasil",-23.5212051,-46.6174352,1880.0
Canindé,"R Azurita, 48",38.0,2.0,1.0,1,R$ 1.880,R$ 380 Condominio,"R Azurita, 48, Canindé, São Paulo, São Paulo, Brasil",-23.5212051,-46.6174352,1880.0
Luz,R. Florêncio de Abreu,,1.0,1.0,0,R$ 1.881,,"R. Florêncio de Abreu, Luz, São Paulo, São Paulo, Brasil",-23.5366041,-46.6330549,1881.0
Vila Buarque,Rua Martim Francisco,44.0,1.0,1.0,0,R$ 1.888,R$ 780 Condominio,"Rua Martim Francisco, Vila Buarque, São Paulo, São Paulo, Brasil",-23.5400958,-46.6531879,1888.0
Centro,Rua Aurora,50.0,1.0,1.0,0,R$ 1.890,R$ 350 Condominio,"Rua Aurora, Centro, São Paulo, São Paulo, Brasil",-23.5390208,-46.6387669,1890.0
Centro,Avenida Cásper Líbero,55.0,1.0,1.0,0,R$ 1.900,R$ 650 Condominio,"Avenida Cásper Líbero, Centro, São Paulo, São Paulo, Brasil",-23.539054,-46.636087,1900.0
Centro,Rua Álvaro de Carvalho,22.0,1.0,1.0,0,R$ 1.900,R$ 500 Condominio,"Rua Álvaro de Carvalho, Centro, São Paulo, São Paulo, Brasil",-23.5491833,-46.6425156,1900.0
Vila Buarque,Rua Maria Antônia,49.0,1.0,1.0,0,R$ 1.900,R$ 643 Condominio,"Rua Maria Antônia, Vila Buarque, São Paulo, São Paulo, Brasil",-23.5467645,-46.6504256,1900.0
Santa Efigênia,Praça Julho Mesquita,54.0,1.0,1.0,0,R$ 1.900,R$ 613 Condominio,"Praça Julho Mesquita, Santa Efigênia, São Paulo, São Paulo, Brasil",-23.5408406,-46.6424277,1900.0
Vila Buarque,Rua Marquês de Itu,27.0,1.0,1.0,0,R$ 1.900,R$ 670 Condominio,"Rua Marquês de Itu, Vila Buarque, São Paulo, São Paulo, Brasil",-23.5437626,-46.6498096,1900.0
Sé,Rua Conde de Sarzedas,90.0,2.0,1.0,1,R$ 1.900,R$ 1.012 Condominio,"Rua Conde de Sarzedas, Sé, São Paulo, São Paulo, Brasil",-23.5539785,-46.6310649,1900.0
Centro,Rua Álvaro de Carvalho,41.0,2.0,1.0,0,R$ 1.900,R$ 434 Condominio,"Rua Álvaro de Carvalho, Centro, São Paulo, São Paulo, Brasil",-23.5491833,-46.6425156,1900.0
Vila Buarque,Rua Maria Antônia,35.0,1.0,1.0,0,R$ 1.900,R$ 456 Condominio,"Rua Maria Antônia, Vila Buarque, São Paulo, São Paulo, Brasil",-23.5467645,-46.6504256,1900.0
Centro,Avenida Cásper Líbero,36.0,1.0,1.0,0,R$ 1.900,R$ 340 Condominio,"Avenida Cásper Líbero, Centro, São Paulo, São Paulo, Brasil",-23.539054,-46.636087,1900.0
Centro,AV Prestes Maia,37.0,1.0,1.0,0,R$ 1.900,R$ 700 Condominio,"AV Prestes Maia, Centro, São Paulo, São Paulo, Brasil",-23.5396645,-46.6340752,1900.0
Centro,"R Gravataí, 87",28.0,1.0,1.0,0,R$ 1.900,R$ 1.000 Condominio,"R Gravataí, 87, Centro, São Paulo, São Paulo, Brasil",-23.5491095,-46.6479717,1900.0
Centro,Rua dos Timbiras 895,28.0,1.0,1.0,0,R$ 1.900,,"Rua dos Timbiras 895, Centro, São Paulo, São Paulo, Brasil",-23.5418745,-46.6411204,1900.0
Vila Buarque,"Rua Fortunato, 30",55.0,51.0,1.0,0,R$ 1.900,R$ 557 Condominio,"Rua Fortunato, 30, Vila Buarque, São Paulo, São Paulo, Brasil",-23.5391507,-46.65150089999999,1900.0
Vila Buarque,"Rua Fortunato, 30",55.0,1.0,1.0,0,R$ 1.900,R$ 557 Condominio,"Rua Fortunato, 30, Vila Buarque, São Paulo, São Paulo, Brasil",-23.5391507,-46.65150089999999,1900.0
Vila Buarque,Endereço não informado,34.0,2.0,1.0,0,R$ 1.900,R$ 707 Condominio,"Endereço não informado, Vila Buarque, São Paulo, São Paulo, Brasil",-23.6349061,-46.7008844,1900.0
Vila Buarque,Rua Major Sertório 423,27.0,1.0,1.0,0,R$ 1.900,R$ 450 Condominio,"Rua Major Sertório 423, Vila Buarque, São Paulo, São Paulo, Brasil",-23.5454813,-46.6483404,1900.0
Vila Buarque,Rua Major Sertório 423,27.0,1.0,1.0,0,R$ 1.900,R$ 450 Condominio,"Rua Major Sertório 423, Vila Buarque, São Paulo, São Paulo, Brasil",-23.5454813,-46.6483404,1900.0
Santa Efigênia,Praça Júlio Mesquita,54.0,1.0,1.0,0,R$ 1.900,R$ 570 Condominio,"Praça Júlio Mesquita, Santa Efigênia, São Paulo, São Paulo, Brasil",-23.5408406,-46.6424277,1900.0
Vila Buarque,Endereço não informado,33.0,2.0,1.0,0,R$ 1.900,R$ 707 Condominio,"Endereço não informado, Vila Buarque, São Paulo, São Paulo, Brasil",-23.6349061,-46.7008844,1900.0
Centro,Endereço não informado,28.0,1.0,1.0,1,R$ 1.900,R$ 400 Condominio,"Endereço não informado, Centro, São Paulo, São Paulo, Brasil",-23.5406338,-46.6320967,1900.0
Centro,Rua Washington Luís,25.0,1.0,1.0,0,R$ 1.902,R$ 385 Condominio,"Rua Washington Luís, Centro, São Paulo, São Paulo, Brasil",-23.5378587,-46.6341964,1902.0
Centro,Rua Aurora,54.0,1.0,1.0,1,R$ 1.904,R$ 500 Condominio,"Rua Aurora, Centro, São Paulo, São Paulo, Brasil",-23.5390208,-46.6387669,1904.0
Centro,Rua Coronel Xavier de Toledo,,2.0,1.0,0,R$ 1.905,,"Rua Coronel Xavier de Toledo, Centro, São Paulo, São Paulo, Brasil",-23.5467432,-46.6393669,1905.0
Centro,Rua Coronel Xavier de Toledo,,1.0,,0,R$ 1.905,,"Rua Coronel Xavier de Toledo, Centro, São Paulo, São Paulo, Brasil",-23.5467432,-46.6393669,1905.0
Centro,Rua Quirino de Andrade,32.0,1.0,1.0,0,R$ 1.910,R$ 435 Condominio,"Rua Quirino de Andrade, Centro, São Paulo, São Paulo, Brasil",-23.5478396,-46.6400406,1910.0
Vila Buarque,Rua Major Sertório,39.0,1.0,1.0,0,R$ 1.910,R$ 440 Condominio,"Rua Major Sertório, Vila Buarque, São Paulo, São Paulo, Brasil",-23.5453915,-46.6487475,1910.0
Vila Buarque,Rua Fortunato,30.0,1.0,1.0,0,R$ 1.916,R$ 510 Condominio,"Rua Fortunato, Vila Buarque, São Paulo, São Paulo, Brasil",-23.5403087,-46.6517888,1916.0
Vila Buarque,Rua General Jardim,26.0,1.0,1.0,0,R$ 1.920,R$ 333 Condominio,"Rua General Jardim, Vila Buarque, São Paulo, São Paulo, Brasil",-23.5446395,-46.6489344,1920.0
Centro,Rua Aurora,28.0,1.0,1.0,0,R$ 1.940,R$ 670 Condominio,"Rua Aurora, Centro, São Paulo, São Paulo, Brasil",-23.5390208,-46.6387669,1940.0
Centro,Praça Pedro Lessa,37.0,1.0,1.0,0,R$ 1.940,R$ 878 Condominio,"Praça Pedro Lessa, Centro, São Paulo, São Paulo, Brasil",-23.5431624,-46.6359519,1940.0
Vila Buarque,Rua Doutor Cesário Mota Júnior,38.0,1.0,1.0,1,R$ 1.949,R$ 420 Condominio,"Rua Doutor Cesário Mota Júnior, Vila Buarque, São Paulo, São Paulo, Brasil",-23.5453759,-46.6489592,1949.0
Canindé,Rua Azurita,38.0,2.0,1.0,0,R$ 1.950,R$ 480 Condominio,"Rua Azurita, Canindé, São Paulo, São Paulo, Brasil",-23.5218631,-46.6178192,1950.0
Centro,Rua Florêncio de Abreu,29.0,1.0,1.0,0,R$ 1.950,R$ 557 Condominio,"Rua Florêncio de Abreu, Centro, São Paulo, São Paulo, Brasil",-23.5398983,-46.6328623,1950.0
Vila Buarque,Rua Amaral Gurgel,24.0,1.0,1.0,0,R$ 1.950,R$ 490 Condominio,"Rua Amaral Gurgel, Vila Buarque, São Paulo, São Paulo, Brasil",-23.5443915,-46.647709,1950.0
Luz,Avenida Tiradentes,32.0,1.0,1.0,0,R$ 1.950,R$ 215 Condominio,"Avenida Tiradentes, Luz, São Paulo, São Paulo, Brasil",-23.5290926,-46.631703,1950.0
Centro,Rua Aurora,49.0,1.0,1.0,0,R$ 1.950,R$ 800 Condominio,"Rua Aurora, Centro, São Paulo, São Paulo, Brasil",-23.5390208,-46.6387669,1950.0
Luz,Avenida Tiradentes,28.0,1.0,1.0,0,R$ 1.950,R$ 215 Condominio,"Avenida Tiradentes, Luz, São Paulo, São Paulo, Brasil",-23.5290926,-46.631703,1950.0
Canindé,R Azurita,40.0,2.0,1.0,1,R$ 1.950,R$ 330 Condominio,"R Azurita, Canindé, São Paulo, São Paulo, Brasil",-23.5218631,-46.6178192,1950.0
Canindé,R Azurita,38.0,2.0,,1,R$ 1.950,R$ 330 Condominio,"R Azurita, Canindé, São Paulo, São Paulo, Brasil",-23.5218631,-46.6178192,1950.0
Vila Buarque,Rua Major Sertório,26.0,1.0,1.0,0,R$ 1.955,R$ 596 Condominio,"Rua Major Sertório, Vila Buarque, São Paulo, São Paulo, Brasil",-23.5453915,-46.6487475,1955.0
Vila Buarque,Rua Maria Antônia,40.0,1.0,1.0,0,R$ 1.955,R$ 727 Condominio,"Rua Maria Antônia, Vila Buarque, São Paulo, São Paulo, Brasil",-23.5467645,-46.6504256,1955.0
Centro,Rua Brigadeiro Tobias,40.0,2.0,1.0,0,R$ 1.956,R$ 298 Condominio,"Rua Brigadeiro Tobias, Centro, São Paulo, São Paulo, Brasil",-23.539384,-46.6350407,1956.0
Centro,Avenida Cásper Líbero,26.0,1.0,1.0,0,R$ 1.960,R$ 455 Condominio,"Avenida Cásper Líbero, Centro, São Paulo, São Paulo, Brasil",-23.539054,-46.636087,1960.0
Vila Buarque,Rua Maria Antônia,32.0,1.0,1.0,0,R$ 1.964,R$ 570 Condominio,"Rua Maria Antônia, Vila Buarque, São Paulo, São Paulo, Brasil",-23.5467645,-46.6504256,1964.0
Vila Buarque,Rua Doutor Cesário Mota Júnior,50.0,1.0,1.0,0,R$ 1.970,R$ 450 Condominio,"Rua Doutor Cesário Mota Júnior, Vila Buarque, São Paulo, São Paulo, Brasil",-23.5453759,-46.6489592,1970.0
Canindé,Avenida Bom Jardim,55.0,1.0,1.0,0,R$ 1.972,R$ 250 Condominio,"Avenida Bom Jardim, Canindé, São Paulo, São Paulo, Brasil",-23.5250154,-46.6150544,1972.0
Canindé,Avenida Bom Jardim,45.0,1.0,1.0,0,R$ 1.972,R$ 250 Condominio,"Avenida Bom Jardim, Canindé, São Paulo, São Paulo, Brasil",-23.5250154,-46.6150544,1972.0
Sé,Rua Tabatinguera,40.0,2.0,1.0,1,R$ 1.980,R$ 510 Condominio,"Rua Tabatinguera, Sé, São Paulo, São Paulo, Brasil",-23.5524974,-46.6296068,1980.0
Vila Buarque,Rua Barão de Tatuí,57.0,1.0,1.0,1,R$ 1.980,R$ 710 Condominio,"Rua Barão de Tatuí, Vila Buarque, São Paulo, São Paulo, Brasil",-23.5382464,-46.6538963,1980.0
Vila Buarque,Rua Barão de Tatuí,47.0,1.0,1.0,0,R$ 1.980,R$ 576 Condominio,"Rua Barão de Tatuí, Vila Buarque, São Paulo, São Paulo, Brasil",-23.5382464,-46.6538963,1980.0
Centro,Rua Mauá 738,102.0,2.0,1.0,0,R$ 1.980,R$ 530 Condominio,"Rua Mauá 738, Centro, São Paulo, São Paulo, Brasil",-23.535975,-46.632813,1980.0
Sé,Praça da Sé 1,65.0,2.0,1.0,1,R$ 1.980,R$ 470 Condominio,"Praça da Sé 1, Sé, São Paulo, São Paulo, Brasil",-23.5493136,-46.6332157,1980.0
Centro,Avenida Cásper Líbero,26.0,1.0,1.0,0,R$ 1.981,R$ 400 Condominio,"Avenida Cásper Líbero, Centro, São Paulo, São Paulo, Brasil",-23.539054,-46.636087,1981.0
Vila Buarque,Rua Marquês de Itu,27.0,1.0,1.0,0,R$ 1.985,R$ 599 Condominio,"Rua Marquês de Itu, Vila Buarque, São Paulo, São Paulo, Brasil",-23.5437626,-46.6498096,1985.0
Centro,Rua Washington Luís,22.0,1.0,1.0,1,R$ 1.985,R$ 450 Condominio,"Rua Washington Luís, Centro, São Paulo, São Paulo, Brasil",-23.5378587,-46.6341964,1985.0
Santa Efigênia,Praça Júlio Mesquita,46.0,1.0,1.0,0,R$ 1.990,R$ 390 Condominio,"Praça Júlio Mesquita, Santa Efigênia, São Paulo, São Paulo, Brasil",-23.5408406,-46.6424277,1990.0
Centro,Rua Dona Maria Paula 122,50.0,1.0,1.0,0,R$ 1.999,R$ 343 Condominio,"Rua Dona Maria Paula 122, Centro, São Paulo, São Paulo, Brasil",-23.5518402,-46.6386687,1999.0
Centro,Rua Aurora,35.0,1.0,1.0,0,R$ 2.000,R$ 768 Condominio,"Rua Aurora, Centro, São Paulo, São Paulo, Brasil",-23.5390208,-46.6387669,2000.0
Centro,Viaduto Nove de Julho,58.0,1.0,1.0,0,R$ 2.000,R$ 568 Condominio,"Viaduto Nove de Julho, Centro, São Paulo, São Paulo, Brasil",-23.5492164,-46.6423238,2000.0
Centro,Rua Riskallah Jorge,40.0,2.0,1.0,0,R$ 2.000,R$ 367 Condominio,"Rua Riskallah Jorge, Centro, São Paulo, São Paulo, Brasil",-23.541838,-46.6350869,2000.0
Vila Buarque,Rua Major Sertório,27.0,1.0,1.0,0,R$ 2.000,R$ 640 Condominio,"Rua Major Sertório, Vila Buarque, São Paulo, São Paulo, Brasil",-23.5453915,-46.6487475,2000.0
Centro,Rua Genebra,33.0,1.0,1.0,1,R$ 2.000,R$ 700 Condominio,"Rua Genebra, Centro, São Paulo, São Paulo, Brasil",-23.5519267,-46.6397195,2000.0
Centro,Avenida Cásper Líbero,33.0,1.0,1.0,0,R$ 2.000,R$ 481 Condominio,"Avenida Cásper Líbero, Centro, São Paulo, São Paulo, Brasil",-23.539054,-46.636087,2000.0
Centro,Rua Aurora,30.0,1.0,1.0,1,R$ 2.000,R$ 730 Condominio,"Rua Aurora, Centro, São Paulo, São Paulo, Brasil",-23.5390208,-46.6387669,2000.0
Canindé,Rua Azurita,39.0,2.0,1.0,0,R$ 2.000,R$ 400 Condominio,"Rua Azurita, Canindé, São Paulo, São Paulo, Brasil",-23.5218631,-46.6178192,2000.0
Centro,Rua Aurora,30.0,1.0,1.0,0,R$ 2.000,R$ 651 Condominio,"Rua Aurora, Centro, São Paulo, São Paulo, Brasil",-23.5390208,-46.6387669,2000.0
Vila Buarque,Rua Rego Freitas,34.0,1.0,1.0,0,R$ 2.000,R$ 637 Condominio,"Rua Rego Freitas, Vila Buarque, São Paulo, São Paulo, Brasil",-23.5447316,-46.6466079,2000.0
Sé,Rua Conde de Sarzedas,24.0,1.0,1.0,0,R$ 2.000,R$ 400 Condominio,"Rua Conde de Sarzedas, Sé, São Paulo, São Paulo, Brasil",-23.5539785,-46.6310649,2000.0
Centro,Rua Aurora,25.0,1.0,1.0,0,R$ 2.000,R$ 350 Condominio,"Rua Aurora, Centro, São Paulo, São Paulo, Brasil",-23.5390208,-46.6387669,2000.0
Sé,Rua dos Estudantes,27.0,1.0,1.0,0,R$ 2.000,R$ 400 Condominio,"Rua dos Estudantes, Sé, São Paulo, São Paulo, Brasil",-23.5553712,-46.6317971,2000.0
